dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, VNS, best known solution,d1,d2,d3,d4,d5,d6
u120_00, 50, 49, 50, 49, 48, 48, 48,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.0,0.0
u120_01, 51, 49, 49, 49, 49, 49, 49,0.04081632653061224,0.0,0.0,0.0,0.0,0.0
u120_02, 48, 47, 46, 46, 46, 46, 46,0.043478260869565216,0.021739130434782608,0.0,0.0,0.0,0.0
u120_03, 52, 50, 50, 50, 49, 49, 49,0.061224489795918366,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.0
u120_04, 52, 50, 50, 50, 50, 50, 50,0.04,0.0,0.0,0.0,0.0,0.0
u120_05, 52, 49, 48, 48, 48, 48, 48,0.08333333333333333,0.020833333333333332,0.0,0.0,0.0,0.0
u120_06, 51, 49, 48, 48, 48, 48, 48,0.0625,0.020833333333333332,0.0,0.0,0.0,0.0
u120_07, 52, 50, 50, 50, 49, 49, 49,0.061224489795918366,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.0
u120_08, 54, 51, 51, 51, 51, 50, 51,0.058823529411764705,0.0,0.0,0.0,0.0,0.0196078431372549
u120_09, 49, 47, 47, 47, 46, 46, 46,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.0,0.0
u120_10, 56, 52, 52, 53, 52, 52, 52,0.07692307692307693,0.0,0.0,0.019230769230769232,0.0,0.0
u120_11, 52, 50, 50, 50, 49, 49, 49,0.061224489795918366,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.0
u120_12, 52, 49, 48, 48, 48, 48, 48,0.08333333333333333,0.020833333333333332,0.0,0.0,0.0,0.0
u120_13, 51, 49, 49, 49, 49, 49, 49,0.04081632653061224,0.0,0.0,0.0,0.0,0.0
u120_14, 53, 50, 50, 50, 50, 50, 50,0.06,0.0,0.0,0.0,0.0,0.0
u120_15, 53, 49, 48, 48, 48, 48, 48,0.10416666666666667,0.020833333333333332,0.0,0.0,0.0,0.0
u120_16, 56, 52, 52, 52, 52, 52, 52,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
u120_17, 56, 53, 54, 53, 52, 52, 52,0.07692307692307693,0.019230769230769232,0.038461538461538464,0.019230769230769232,0.0,0.0
u120_18, 52, 50, 49, 50, 49, 49, 49,0.061224489795918366,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0
u120_19, 52, 50, 50, 49, 50, 49, 50,0.04,0.0,0.0,0.02,0.0,0.02
