dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, VNS, best known solution
t60_00, 23, 23, 27, 25, 22, 21, 20
t60_01, 23, 24, 27, 26, 21, 21, 20
t60_02, 22, 23, 27, 25, 21, 21, 20
t60_03, 24, 23, 26, 25, 22, 21, 20
t60_04, 23, 24, 27, 26, 21, 21, 20
t60_05, 23, 23, 26, 26, 22, 21, 20
t60_06, 22, 23, 27, 26, 21, 21, 20
t60_07, 22, 23, 26, 26, 21, 21, 20
t60_08, 23, 23, 26, 24, 22, 21, 20
t60_09, 23, 23, 27, 26, 21, 21, 20
t60_10, 23, 23, 27, 26, 21, 21, 20
t60_11, 24, 24, 27, 26, 22, 21, 20
t60_12, 23, 23, 27, 26, 21, 21, 20
t60_13, 23, 23, 26, 25, 22, 21, 20
t60_14, 23, 23, 28, 25, 22, 21, 20
t60_15, 23, 23, 26, 25, 22, 21, 20
t60_16, 23, 24, 27, 26, 22, 21, 20
t60_17, 23, 24, 26, 25, 22, 21, 20
t60_18, 23, 23, 27, 25, 21, 21, 20
t60_19, 23, 23, 27, 26, 21, 21, 20
