dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, best known solution
t120_00, 44, 45, 50, 50, 44, 40
t120_01, 45, 46, 50, 50, 44, 40
t120_02, 44, 45, 49, 49, 44, 40
t120_03, 44, 46, 50, 50, 44, 40
t120_04, 45, 46, 50, 50, 44, 40
t120_05, 46, 46, 50, 50, 44, 40
t120_06, 44, 46, 50, 50, 44, 40
t120_07, 45, 46, 51, 51, 44, 40
t120_08, 45, 46, 50, 50, 44, 40
t120_09, 45, 45, 50, 50, 43, 40
t120_10, 44, 46, 50, 50, 44, 40
t120_11, 45, 46, 51, 51, 44, 40
t120_12, 44, 46, 50, 50, 44, 40
t120_13, 45, 46, 50, 50, 44, 40
t120_14, 44, 46, 50, 50, 44, 40
t120_15, 46, 46, 50, 50, 44, 40
t120_16, 45, 46, 50, 50, 44, 40
t120_17, 46, 47, 50, 50, 44, 40
t120_18, 44, 46, 50, 50, 44, 40
t120_19, 46, 46, 51, 51, 44, 40
